iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.645833333,-78.35416667,COL.21.47_1_gadm36,537.5522461,1116.117215,1116.117215,1010522,1010522,179
COL,1.729166667,-78.35416667,COL.21.47_1_gadm36,489.702301,5382.1313,5382.1313,1010517,1010517,185
COL,1.979166667,-78.35416667,COL.21.47_1_gadm36,491.014679,7069.855585,7069.855585,1023190,1023190,187
COL,1.9375,-78.35416667,COL.21.47_1_gadm36,480.9695129,3645.633345,3645.633345,1010521,1010520,188
COL,1.895833333,-78.35416667,COL.21.47_1_gadm36,469.0238342,2236.295452,2236.295452,1010521,1010520,189
COL,1.8125,-78.35416667,COL.21.47_1_gadm36,429.785675,3271.772708,3271.772708,1010538,1010538,191
COL,1.6875,-78.3125,COL.21.47_1_gadm36,492.232666,1753.684769,1753.684769,1023203,1023203,210
COL,1.895833333,-78.3125,COL.21.47_1_gadm36,492.1760254,2588.421268,3228.964705,1023211,1010520,211
COL,1.770833333,-78.3125,COL.21.47_1_gadm36,416.76297,3841.566774,3841.566774,1010538,1010538,216
COL,1.604166667,-78.35416667,COL.21.5_1_gadm36,557.2692261,1079.021027,2082.166807,1010523,1023199,180
COL,1.979166667,-78.27083333,COL.21.36_1_gadm36,544.4729004,4961.642346,4961.642346,1011035,1011035,237
COL,1.9375,-78.27083333,COL.21.36_1_gadm36,445.9447021,7921.813484,7921.813484,1023211,1023211,238
COL,1.854166667,-78.27083333,COL.21.36_1_gadm36,426.5690613,1567.826,1567.826,1011033,1011033,241
COL,1.8125,-78.27083333,COL.21.36_1_gadm36,418.9822388,2088.490956,2088.490956,1010524,1010524,242
COL,2.5625,-78.35416667,COL.21.16_1_gadm36,530.1011963,3874.499694,3874.499694,1011055,1011055,182
COL,2.479166667,-78.27083333,COL.21.31_1_gadm36,881.0820923,981.9281155,981.9281155,1010327,1010327,229
COL,1.854166667,-78.3125,COL.21.36_1_gadm36,460.0668335,2434.848321,2434.848321,1023211,1023211,213
COL,1.3125,-78.22916667,COL.21.5_1_gadm36,357.1517334,4705.673083,5217.784082,1010869,541213,267
COL,1.395833333,-78.22916667,COL.21.5_1_gadm36,357.1393127,653.1292804,653.1292804,1010500,1010500,268
COL,1.479166667,-78.22916667,COL.21.5_1_gadm36,357.1260681,6701.133192,6701.133192,1010908,1010908,269
COL,1.729166667,-78.1875,COL.21.5_1_gadm36,372.3908081,3799.798621,3799.798621,541232,541232,288
